reference,config_name,total_tokens,nodes,edges,merge_ratio,variation_points,time
107,Enriched (lemma+pos),149,53,76,2.811,20,2.23
107,Enriched (lemma),149,53,76,2.811,20,0.25
107,Enriched (text),149,57,81,2.614,21,0.24
107,Raw (text),156,58,81,2.69,20,0.05
108,Enriched (lemma+pos),223,79,111,2.823,28,0.33
108,Enriched (lemma),223,75,106,2.973,28,0.32
108,Enriched (text),223,75,105,2.973,25,0.32
108,Raw (text),237,94,128,2.521,31,0.05
109,Enriched (lemma+pos),111,46,61,2.413,16,0.19
109,Enriched (lemma),111,41,54,2.707,14,0.18
109,Enriched (text),111,51,67,2.176,17,0.17
109,Raw (text),116,43,57,2.698,15,0.04
110,Enriched (lemma+pos),405,102,140,3.971,34,0.74
110,Enriched (lemma),405,105,149,3.857,40,0.43
110,Enriched (text),405,105,146,3.857,37,0.4
110,Raw (text),415,121,168,3.43,40,0.04
111,Enriched (lemma+pos),216,66,92,3.273,23,0.28
111,Enriched (lemma),216,67,93,3.224,23,0.27
111,Enriched (text),216,56,75,3.857,19,0.27
111,Raw (text),224,45,61,4.978,17,0.02
112,Enriched (lemma+pos),124,22,28,5.636,7,0.15
112,Enriched (lemma),124,22,28,5.636,7,0.16
112,Enriched (text),124,18,23,6.889,6,0.16
112,Raw (text),125,21,27,5.952,7,0.02
113,Enriched (lemma+pos),183,67,91,2.731,22,0.26
113,Enriched (lemma),183,65,88,2.815,22,0.25
113,Enriched (text),183,61,81,3.0,20,0.26
113,Raw (text),193,64,85,3.016,20,0.02
114,Enriched (lemma+pos),224,69,96,3.246,24,0.3
114,Enriched (lemma),224,72,100,3.111,25,0.3
114,Enriched (text),224,61,82,3.672,21,0.28
114,Raw (text),232,65,87,3.569,22,0.02
115,Enriched (lemma+pos),333,94,130,3.543,36,0.41
115,Enriched (lemma),333,99,137,3.364,38,0.47
115,Enriched (text),333,98,133,3.398,35,0.41
115,Raw (text),346,97,133,3.567,34,0.02
116,Enriched (lemma+pos),139,46,60,3.022,15,0.19
116,Enriched (lemma),139,50,66,2.78,17,0.18
116,Enriched (text),139,38,49,3.658,12,0.16
116,Raw (text),143,44,57,3.25,14,0.02
117,Enriched (lemma+pos),129,49,66,2.633,18,0.19
117,Enriched (lemma),129,47,63,2.745,17,0.16
117,Enriched (text),129,45,60,2.867,16,0.17
117,Raw (text),138,36,47,3.833,12,0.02
118,Enriched (lemma+pos),211,90,130,2.344,38,0.3
118,Enriched (lemma),211,88,128,2.398,36,0.29
118,Enriched (text),211,93,133,2.269,37,0.28
118,Raw (text),218,92,131,2.37,35,0.03
119,Enriched (lemma+pos),332,119,169,2.79,44,0.38
119,Enriched (lemma),332,119,170,2.79,45,0.41
119,Enriched (text),332,128,181,2.594,49,0.37
119,Raw (text),345,134,189,2.575,48,0.03
120,Enriched (lemma+pos),326,117,173,2.786,53,0.39
120,Enriched (lemma),326,106,156,3.075,45,0.38
120,Enriched (text),326,104,149,3.135,39,0.37
120,Raw (text),343,119,168,2.882,42,0.03
121,Enriched (lemma+pos),204,81,113,2.519,30,0.29
121,Enriched (lemma),204,87,122,2.345,31,0.28
121,Enriched (text),204,88,123,2.318,31,0.27
121,Raw (text),222,87,121,2.552,30,0.02
122,Enriched (lemma+pos),196,82,116,2.39,31,0.24
122,Enriched (lemma),196,80,112,2.45,30,0.25
122,Enriched (text),196,68,93,2.882,26,0.25
122,Raw (text),205,67,91,3.06,25,0.02
123,Enriched (lemma+pos),389,139,196,2.799,50,0.42
123,Enriched (lemma),389,136,192,2.86,50,0.39
123,Enriched (text),389,151,210,2.576,54,0.4
123,Raw (text),415,151,210,2.748,49,0.03
