reference,config_name,total_tokens,nodes,edges,merge_ratio,variation_points,time
107,Enriched (lemma+pos),149,67,94,2.224,26,1.62
107,Enriched (lemma),149,67,96,2.224,27,0.43
107,Enriched (text),149,65,91,2.292,24,0.41
107,Raw (text),156,67,94,2.328,23,0.05
108,Enriched (lemma+pos),223,102,146,2.186,39,0.53
108,Enriched (lemma),223,97,142,2.299,41,0.5
108,Enriched (text),223,99,141,2.253,36,0.55
108,Raw (text),237,114,162,2.079,40,0.14
109,Enriched (lemma+pos),111,48,65,2.312,18,0.35
109,Enriched (lemma),111,41,54,2.707,14,0.36
109,Enriched (text),111,51,67,2.176,17,0.38
109,Raw (text),116,49,65,2.367,17,0.09
110,Enriched (lemma+pos),405,212,309,1.91,87,0.86
110,Enriched (lemma),405,199,298,2.035,87,0.83
110,Enriched (text),405,198,289,2.045,82,0.88
110,Raw (text),415,218,316,1.904,87,0.2
111,Enriched (lemma+pos),216,107,153,2.019,43,0.4
111,Enriched (lemma),216,110,157,1.964,43,0.58
111,Enriched (text),216,91,122,2.374,29,0.48
111,Raw (text),224,92,124,2.435,32,0.11
112,Enriched (lemma+pos),124,34,44,3.647,11,0.3
112,Enriched (lemma),124,34,44,3.647,11,0.24
112,Enriched (text),124,32,41,3.875,10,0.25
112,Raw (text),125,38,49,3.289,12,0.1
113,Enriched (lemma+pos),183,82,120,2.232,34,0.75
113,Enriched (lemma),183,75,107,2.44,30,0.52
113,Enriched (text),183,72,96,2.542,24,0.4
113,Raw (text),193,72,96,2.681,23,0.08
114,Enriched (lemma+pos),224,97,141,2.309,39,0.6
114,Enriched (lemma),224,100,146,2.24,41,0.52
114,Enriched (text),224,77,107,2.909,30,0.51
114,Raw (text),232,81,112,2.864,31,0.12
115,Enriched (lemma+pos),333,156,227,2.135,69,0.78
115,Enriched (lemma),333,155,228,2.148,70,0.76
115,Enriched (text),333,147,208,2.265,60,0.51
115,Raw (text),346,158,223,2.19,60,0.07
116,Enriched (lemma+pos),139,57,75,2.439,19,0.36
116,Enriched (lemma),139,60,80,2.317,21,0.44
116,Enriched (text),139,46,60,3.022,15,0.37
116,Raw (text),143,56,72,2.554,17,0.06
117,Enriched (lemma+pos),129,60,81,2.15,22,0.38
117,Enriched (lemma),129,55,75,2.345,21,0.42
117,Enriched (text),129,46,62,2.804,17,0.33
117,Raw (text),138,48,63,2.875,16,0.11
118,Enriched (lemma+pos),211,100,150,2.11,45,0.49
118,Enriched (lemma),211,99,150,2.131,44,0.43
118,Enriched (text),211,101,146,2.089,41,0.46
118,Raw (text),218,103,148,2.117,40,0.05
119,Enriched (lemma+pos),332,190,287,1.747,83,0.69
119,Enriched (lemma),332,182,278,1.824,85,0.73
119,Enriched (text),332,174,251,1.908,69,0.54
119,Raw (text),345,180,258,1.917,68,0.15
120,Enriched (lemma+pos),326,155,239,2.103,72,0.61
120,Enriched (lemma),326,141,212,2.312,64,0.59
120,Enriched (text),326,131,191,2.489,53,0.57
120,Raw (text),343,150,212,2.287,55,0.14
121,Enriched (lemma+pos),204,109,161,1.872,48,0.56
121,Enriched (lemma),204,103,150,1.981,43,0.48
121,Enriched (text),204,101,142,2.02,36,0.53
121,Raw (text),222,108,152,2.056,40,0.09
122,Enriched (lemma+pos),196,108,159,1.815,44,0.43
122,Enriched (lemma),196,108,157,1.815,42,0.41
122,Enriched (text),196,103,148,1.903,41,0.46
122,Raw (text),205,100,140,2.05,37,0.08
123,Enriched (lemma+pos),389,178,266,2.185,78,0.7
123,Enriched (lemma),389,175,263,2.223,75,0.68
123,Enriched (text),389,172,247,2.262,65,0.73
123,Raw (text),415,188,268,2.207,65,0.13
124,Enriched (lemma+pos),346,127,178,2.724,46,0.82
124,Enriched (lemma),346,126,176,2.746,43,0.69
124,Enriched (text),346,145,202,2.386,50,0.54
