reference,config_name,total_tokens,nodes,edges,merge_ratio,variation_points,time
107,Enriched (lemma+pos),149,53,73,2.811,18,1.85
107,Enriched (lemma),149,53,73,2.811,18,0.34
107,Enriched (text),149,53,73,2.811,18,0.33
107,Raw (text),156,57,80,2.737,20,0.05
108,Enriched (lemma+pos),223,77,107,2.896,25,0.41
108,Enriched (lemma),223,77,107,2.896,26,0.41
108,Enriched (text),223,73,101,3.055,23,0.4
108,Raw (text),237,92,126,2.576,30,0.07
109,Enriched (lemma+pos),111,46,61,2.413,16,0.26
109,Enriched (lemma),111,41,54,2.707,14,0.19
109,Enriched (text),111,51,67,2.176,17,0.19
109,Raw (text),116,45,59,2.578,15,0.05
110,Enriched (lemma+pos),405,116,157,3.491,41,0.58
110,Enriched (lemma),405,118,160,3.432,42,0.63
110,Enriched (text),405,106,142,3.821,36,0.6
110,Raw (text),415,103,137,4.029,34,0.1
111,Enriched (lemma+pos),216,65,90,3.323,22,0.32
111,Enriched (lemma),216,68,94,3.176,23,0.3
111,Enriched (text),216,38,50,5.684,13,0.29
111,Raw (text),224,40,53,5.6,14,0.02
112,Enriched (lemma+pos),124,4,4,31.0,1,0.21
112,Enriched (lemma),124,4,4,31.0,1,0.17
112,Enriched (text),124,4,4,31.0,1,0.16
112,Raw (text),125,4,4,31.25,1,0.04
113,Enriched (lemma+pos),183,62,83,2.952,21,0.29
113,Enriched (lemma),183,62,83,2.952,22,0.29
113,Enriched (text),183,58,77,3.155,19,0.29
113,Raw (text),193,62,82,3.113,20,0.02
114,Enriched (lemma+pos),224,70,96,3.2,24,0.32
114,Enriched (lemma),224,74,101,3.027,25,0.33
114,Enriched (text),224,53,72,4.226,19,0.42
114,Raw (text),232,54,72,4.296,18,0.02
115,Enriched (lemma+pos),333,77,105,4.325,29,0.45
115,Enriched (lemma),333,74,101,4.5,28,0.44
115,Enriched (text),333,85,115,3.918,31,0.42
115,Raw (text),346,91,121,3.802,31,0.04
116,Enriched (lemma+pos),139,46,60,3.022,15,0.21
116,Enriched (lemma),139,47,62,2.957,16,0.16
116,Enriched (text),139,40,52,3.475,13,0.18
116,Raw (text),143,46,60,3.109,15,0.02
117,Enriched (lemma+pos),129,51,68,2.529,18,0.19
117,Enriched (lemma),129,49,65,2.633,17,0.16
117,Enriched (text),129,45,60,2.867,16,0.19
117,Raw (text),138,41,54,3.366,14,0.02
118,Enriched (lemma+pos),211,92,131,2.293,37,0.28
118,Enriched (lemma),211,93,133,2.269,37,0.27
118,Enriched (text),211,93,131,2.269,37,0.3
118,Raw (text),218,94,132,2.319,36,0.04
119,Enriched (lemma+pos),332,137,191,2.423,46,0.38
119,Enriched (lemma),332,134,187,2.478,44,0.35
119,Enriched (text),332,126,173,2.635,43,0.37
119,Raw (text),345,134,184,2.575,44,0.05
120,Enriched (lemma+pos),326,111,157,2.937,44,0.39
120,Enriched (lemma),326,103,147,3.165,41,0.38
120,Enriched (text),326,100,141,3.26,36,0.38
120,Raw (text),343,114,160,3.009,38,0.05
121,Enriched (lemma+pos),204,67,91,3.045,25,0.27
121,Enriched (lemma),204,73,99,2.795,27,0.28
121,Enriched (text),204,76,102,2.684,27,0.29
121,Raw (text),222,78,103,2.846,26,0.06
122,Enriched (lemma+pos),196,77,107,2.545,25,0.26
122,Enriched (lemma),196,75,105,2.613,26,0.26
122,Enriched (text),196,59,80,3.322,22,0.26
122,Raw (text),205,59,80,3.475,21,0.02
123,Enriched (lemma+pos),389,151,213,2.576,55,0.45
123,Enriched (lemma),389,151,213,2.576,57,0.41
123,Enriched (text),389,155,217,2.51,55,0.4
123,Raw (text),415,163,226,2.546,52,0.05
124,Enriched (lemma+pos),346,122,169,2.836,42,0.43
124,Enriched (lemma),346,119,165,2.908,40,0.4
124,Enriched (text),346,136,188,2.544,46,0.43
124,Raw (text),356,139,193,2.561,45,0.04
125,Enriched (lemma+pos),419,152,212,2.757,54,0.55
125,Enriched (lemma),419,138,195,3.036,49,0.49
125,Enriched (text),419,164,232,2.555,55,0.51
125,Raw (text),442,190,273,2.326,58,0.06
126,Enriched (lemma+pos),186,68,94,2.735,25,0.28
126,Enriched (lemma),186,67,93,2.776,25,0.25
126,Enriched (text),186,66,92,2.818,24,0.25
126,Raw (text),197,68,94,2.897,25,0.02
127,Enriched (lemma+pos),196,72,100,2.722,28,0.28
127,Enriched (lemma),196,72,99,2.722,27,0.36
127,Enriched (text),196,74,103,2.649,28,0.25
127,Raw (text),210,83,115,2.53,27,0.02
128,Enriched (lemma+pos),307,90,126,3.411,33,0.4
128,Enriched (lemma),307,89,126,3.449,33,0.36
128,Enriched (text),307,99,139,3.101,35,0.35
128,Raw (text),325,55,73,5.909,19,0.04
129,Enriched (lemma+pos),272,108,151,2.519,34,0.36
129,Enriched (lemma),272,101,143,2.693,36,0.33
129,Enriched (text),272,111,156,2.45,39,0.42
129,Raw (text),281,117,165,2.402,38,0.05
130,Enriched (lemma+pos),388,126,179,3.079,46,0.56
130,Enriched (lemma),388,122,174,3.18,47,0.46
130,Enriched (text),388,137,193,2.832,50,0.5
130,Raw (text),397,161,225,2.466,57,0.05
131,Enriched (lemma+pos),280,113,157,2.478,41,0.36
131,Enriched (lemma),280,107,149,2.617,39,0.36
131,Enriched (text),280,116,159,2.414,41,0.45
131,Raw (text),292,97,129,3.01,33,0.03
132,Enriched (lemma+pos),717,221,316,3.244,78,0.92
132,Enriched (lemma),717,208,298,3.447,71,0.86
132,Enriched (text),717,233,333,3.077,81,0.93
132,Raw (text),762,276,391,2.761,90,0.1
133,Enriched (lemma+pos),346,123,173,2.813,41,0.51
133,Enriched (lemma),346,121,170,2.86,41,0.47
133,Enriched (text),346,133,184,2.602,43,0.47
133,Raw (text),371,147,208,2.524,48,0.05
134,Enriched (lemma+pos),125,48,66,2.604,17,0.23
134,Enriched (lemma),125,47,64,2.66,17,0.2
134,Enriched (text),125,51,69,2.451,18,0.2
134,Raw (text),130,56,77,2.321,20,0.02
135,Enriched (lemma+pos),591,213,299,2.775,75,0.8
135,Enriched (lemma),591,196,273,3.015,69,0.76
135,Enriched (text),591,217,302,2.724,74,0.73
135,Raw (text),612,242,337,2.529,83,0.08
136,Enriched (lemma+pos),208,72,99,2.889,24,0.28
136,Enriched (lemma),208,69,95,3.014,24,0.29
136,Enriched (text),208,78,107,2.667,27,0.32
136,Raw (text),222,85,120,2.612,29,0.03
137,Enriched (lemma+pos),525,175,243,3.0,61,0.66
137,Enriched (lemma),525,155,215,3.387,53,0.65
137,Enriched (text),525,191,265,2.749,65,0.65
137,Raw (text),549,220,308,2.495,73,0.07
138,Enriched (lemma+pos),711,252,352,2.821,88,0.8
138,Enriched (lemma),711,227,318,3.132,80,0.82
138,Enriched (text),711,255,358,2.788,88,0.88
138,Raw (text),758,292,413,2.596,96,0.08
139,Enriched (lemma+pos),272,85,117,3.2,29,0.38
139,Enriched (lemma),272,79,109,3.443,28,0.38
139,Enriched (text),272,96,134,2.833,34,0.41
139,Raw (text),297,113,156,2.628,39,0.04
140,Enriched (lemma+pos),645,200,277,3.225,69,0.75
140,Enriched (lemma),645,181,251,3.564,65,0.8
140,Enriched (text),645,220,306,2.932,76,0.82
140,Raw (text),675,258,362,2.616,86,0.12
141,Enriched (lemma+pos),362,130,180,2.785,44,0.5
141,Enriched (lemma),362,122,168,2.967,42,0.48
141,Enriched (text),362,142,195,2.549,51,0.49
141,Raw (text),379,149,206,2.544,49,0.03
142,Enriched (lemma+pos),562,209,289,2.689,75,0.65
142,Enriched (lemma),562,195,270,2.882,71,0.65
142,Enriched (text),562,216,301,2.602,76,0.6
142,Raw (text),589,226,314,2.606,78,0.06
143,Enriched (lemma+pos),470,169,235,2.781,59,0.61
143,Enriched (lemma),470,159,221,2.956,57,0.73
143,Enriched (text),470,171,240,2.749,59,0.6
143,Raw (text),499,199,281,2.508,68,0.07
144,Enriched (lemma+pos),555,163,224,3.405,53,0.72
144,Enriched (lemma),555,161,221,3.447,53,0.65
144,Enriched (text),555,186,256,2.984,62,0.62
144,Raw (text),581,219,302,2.653,72,0.09
145,Enriched (lemma+pos),51,14,18,3.643,4,0.11
145,Enriched (lemma),51,13,17,3.923,4,0.11
145,Enriched (text),51,13,17,3.923,4,0.13
145,Raw (text),52,16,21,3.25,5,0.02
146,Enriched (lemma+pos),135,53,73,2.547,18,0.22
146,Enriched (lemma),135,45,62,3.0,15,0.21
146,Enriched (text),135,47,65,2.872,16,0.27
146,Raw (text),145,56,77,2.589,18,0.02
147,Enriched (lemma+pos),122,35,46,3.486,12,0.24
147,Enriched (lemma),122,37,49,3.297,13,0.23
147,Enriched (text),122,32,42,3.812,11,0.23
147,Raw (text),131,32,42,4.094,11,0.02
148,Enriched (lemma+pos),527,167,235,3.156,62,0.75
148,Enriched (lemma),527,154,216,3.422,58,0.79
148,Enriched (text),527,174,241,3.029,62,0.74
148,Raw (text),554,206,287,2.689,69,0.12
